test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,1149,WR,3,40.00
mem_full_test,0,0,1151,WR,3,40.00
mem_full_test,0,0,1153,WR,3,40.00
mem_full_test,0,0,1155,WR,3,40.00
mem_full_test,0,0,1157,WR,3,50.00
mem_full_test,0,0,1159,WR,3,40.00
mem_full_test,0,0,1161,WR,3,40.00
mem_full_test,0,0,1163,WR,3,50.00
mem_full_test,0,0,1165,WR,3,40.00
mem_full_test,0,0,1167,WR,3,40.00
mem_full_test,0,0,1169,WR,3,40.00
mem_full_test,0,0,1171,WR,3,40.00
mem_full_test,0,0,1173,WR,3,40.00
mem_full_test,0,0,1175,WR,3,50.00
mem_full_test,0,0,1177,WR,3,60.00
mem_full_test,0,0,1179,WR,3,40.00
mem_full_test,0,0,1181,WR,3,40.00
mem_full_test,0,0,1183,WR,3,50.00
mem_full_test,0,0,1185,WR,3,50.00
mem_full_test,0,0,1187,WR,3,40.00
mem_full_test,0,0,1189,WR,3,40.00
mem_full_test,0,0,1191,WR,3,40.00
mem_full_test,0,0,1193,WR,3,40.00
mem_full_test,0,0,1195,WR,3,40.00
mem_full_test,0,0,1197,WR,3,40.00
mem_full_test,0,0,1199,WR,3,40.00
mem_full_test,0,0,1201,WR,3,40.00
mem_full_test,0,0,1203,WR,3,40.00
mem_full_test,0,0,1205,WR,3,40.00
mem_full_test,0,0,1207,WR,3,40.00
mem_full_test,0,0,1209,WR,3,40.00
mem_full_test,0,0,1211,WR,3,40.00
mem_full_test,0,0,1213,WR,3,40.00
mem_full_test,0,0,1215,WR,3,40.00
mem_full_test,0,0,1217,WR,3,40.00
mem_full_test,0,0,1219,WR,3,40.00
mem_full_test,0,0,1221,WR,3,50.00
mem_full_test,0,0,1223,WR,3,40.00
mem_full_test,0,0,1225,WR,3,40.00
mem_full_test,0,0,1227,WR,3,40.00
mem_full_test,0,0,1229,WR,3,40.00
mem_full_test,0,0,1231,WR,3,40.00
mem_full_test,0,0,1233,WR,3,40.00
mem_full_test,0,0,1235,WR,3,40.00
mem_full_test,0,0,1237,WR,3,40.00
mem_full_test,0,0,1239,WR,3,40.00
